movieId,imdb_id,tmdbId
1,114709,862.0
2,113497,8844.0
3,113228,15602.0
4,114885,31357.0
5,113041,11862.0
6,113277,949.0
7,114319,11860.0
8,112302,45325.0
9,114576,9091.0
10,113189,710.0
11,112346,9087.0
12,112896,12110.0
13,112453,21032.0
14,113987,10858.0
15,112760,1408.0
16,112641,524.0
17,114388,4584.0
18,113101,5.0
19,112281,9273.0
20,113845,11517.0
21,113161,8012.0
22,112722,1710.0
23,112401,9691.0
24,114168,12665.0
25,113627,451.0
26,114057,16420.0
27,114011,9263.0
28,114117,17015.0
29,112682,902.0
30,115012,37557.0
31,112792,9909.0
32,114746,63.0
33,114952,78802.0
34,112431,9598.0
35,112637,47018.0
36,112818,687.0
37,112286,139405.0
38,113442,33689.0
39,112697,9603.0
40,112749,34615.0
41,114279,31174.0
42,112819,11443.0
43,114272,35196.0
44,113855,9312.0
45,114681,577.0
46,113347,11861.0
47,114369,807.0
48,114148,10530.0
49,114916,8391.0
50,114814,629.0
51,109950,117164.0
52,113819,11448.0
53,110299,49133.0
54,112499,26441.0
55,113158,97406.0
56,113541,124057.0
57,113321,9089.0
58,110877,11010.0
59,112714,99040.0
60,113419,11359.0
61,116260,17182.0
62,113862,2054.0
63,116126,10607.0
64,118002,19760.0
65,115683,9536.0
66,116839,11525.0
67,114753,40628.0
68,113149,4482.0
69,113118,10634.0
70,116367,755.0
71,113010,11859.0
72,113537,28387.0
73,113828,48750.0
74,115644,20927.0
75,115676,36929.0
76,114367,9102.0
77,113973,124626.0
78,112744,27526.0
79,116731,9623.0
80,112445,46785.0
81,114660,400.0
82,112379,880.0
83,114039,146599.0
84,113612,188588.0
85,112365,8447.0
86,118158,10534.0
87,116151,17414.0
88,115697,13997.0
89,113972,2086.0
90,113490,61548.0
92,117002,9095.0
93,114825,12158.0
94,115639,9283.0
95,115759,9208.0
96,113403,40154.0
97,113247,406.0
98,111173,45549.0
99,113283,63076.0
100,115907,11062.0
101,115734,13685.0
102,117102,47475.0
103,118040,2045.0
104,116483,9614.0
105,112579,688.0
106,110251,11907.0
107,117110,10874.0
108,112646,89333.0
109,113276,96357.0
110,112573,197.0
111,75314,103.0
112,113326,33542.0
113,115645,43566.0
114,113774,71754.0
115,112556,43612.0
116,112373,51352.0
117,115033,16934.0
118,116606,10324.0
119,114536,78406.0
120,117427,55731.0
121,106473,32119.0
122,103859,11066.0
123,109424,11104.0
124,114808,37975.0
125,116324,2074.0
126,110647,27793.0
127,111055,44284.0
128,110217,290157.0
129,114131,110972.0
130,112364,32622.0
131,113107,73067.0
132,113451,11863.0
133,114015,55475.0
134,114500,124636.0
135,116130,9101.0
136,113125,123360.0
137,113756,5757.0
138,113952,39428.0
139,114618,124639.0
140,118055,9302.0
141,115685,11000.0
142,94878,525153.0
143,113200,249882.0
144,112585,16388.0
145,112442,9737.0
146,112342,30765.0
147,112461,10474.0
148,112427,22279.0
149,109093,30157.0
150,112384,568.0
151,114287,11780.0
152,112288,34996.0
153,112462,414.0
154,61395,649.0
155,112495,1873.0
156,112541,5894.0
157,109370,1775.0
158,112642,8839.0
159,112688,20649.0
160,112715,10329.0
161,112740,8963.0
162,109508,26564.0
163,112851,8068.0
164,112857,8512.0
165,112864,1572.0
166,112887,13552.0
167,113044,259209.0
168,113071,6520.0
169,113114,9073.0
170,113243,10428.0
171,113464,17447.0
172,113481,9886.0
173,113492,9482.0
174,113500,19326.0
175,113540,9344.0
176,113677,9071.0
177,113690,8973.0
178,107447,15730.0
179,113729,47608.0
180,113749,2293.0
181,113820,9070.0
182,113851,68274.0
183,110604,48787.0
184,110620,34574.0
185,113957,1642.0
186,113986,11472.0
187,114095,36196.0
188,114194,11980.0
189,114241,58372.0
190,114323,32646.0
191,114345,10533.0
192,114435,56088.0
193,114436,10802.0
194,114478,10149.0
195,114496,18402.0
196,114508,9348.0
197,114534,139408.0
198,114558,281.0
199,58450,5967.0
200,114666,79593.0
201,114663,47939.0
202,114702,36834.0
203,114682,9090.0
204,114781,3512.0
205,114798,52856.0
206,114805,77350.0
207,114887,9560.0
208,114898,9804.0
209,114928,31611.0
210,114938,65796.0
211,109340,49805.0
212,112602,26258.0
213,111579,50797.0
214,110882,19155.0
215,112471,76.0
216,112508,11017.0
217,112438,37141.0
218,112571,9382.0
219,112757,6715.0
220,112643,18256.0
222,112679,22625.0
223,109445,2292.0
224,112883,1909.0
225,109635,8984.0
226,112899,61813.0
227,109676,4954.0
228,112854,62488.0
229,109579,10531.0
230,109642,11929.0
231,109686,8467.0
232,111797,10451.0
233,109759,20156.0
234,109758,18395.0
235,109707,522.0
236,113117,397.0
237,113097,10525.0
238,113028,27985.0
239,113198,15789.0
240,113303,27303.0
241,113089,21183.0
242,109771,10954.0
243,113199,47867.0
244,113234,43475.0
245,109906,72031.0
246,110057,14275.0
247,110005,1024.0
248,110066,17207.0
249,110116,13701.0
250,110006,14819.0
251,113360,32631.0
252,110099,11777.0
253,110148,628.0
254,113463,87729.0
255,110189,18713.0
256,110216,6280.0
257,113501,9061.0
258,113538,37108.0
259,113552,6071.0
260,76759,11.0
261,110367,9587.0
262,113670,19101.0
263,110296,49980.0
264,109731,17961.0
265,103994,18183.0
266,110322,4476.0
267,110443,11008.0
268,110365,47504.0
269,107566,32325.0
270,110391,43742.0
271,113691,28313.0
272,110428,11318.0
273,109836,3036.0
274,113755,40490.0
275,110538,24070.0
276,110516,8986.0
277,110527,10510.0
278,113808,17402.0
279,113896,38722.0
280,113870,8438.0
281,110684,11593.0
282,110638,1945.0
283,113967,39310.0
284,117169,109560.0
285,106402,56428.0
286,113948,63105.0
287,110671,131957.0
288,110632,241.0
289,110737,9058.0
290,110729,527.0
292,114069,6950.0
293,110413,101.0
294,114113,63020.0
295,114210,2307.0
